,pathway,gene_symbol
71,Androgen and estrogen synthesis and metabolism,CYP3A43
72,Androgen and estrogen synthesis and metabolism,CYP3A5
73,Androgen and estrogen synthesis and metabolism,CYP3A7
74,Androgen and estrogen synthesis and metabolism,CYP4B1
75,Androgen and estrogen synthesis and metabolism,CYP4F11
76,Androgen and estrogen synthesis and metabolism,CYP4F12
77,Androgen and estrogen synthesis and metabolism,CYP4F8
78,Androgen and estrogen synthesis and metabolism,CYP4X1
79,Androgen and estrogen synthesis and metabolism,CYP4Z1
80,Androgen and estrogen synthesis and metabolism,EPX
81,Androgen and estrogen synthesis and metabolism,HSD3B1
82,Androgen and estrogen synthesis and metabolism,HSD3B2
83,Androgen and estrogen synthesis and metabolism,LPO
84,Androgen and estrogen synthesis and metabolism,MPO
85,Androgen and estrogen synthesis and metabolism,PRDX6
86,Androgen and estrogen synthesis and metabolism,SRD5A1
87,Androgen and estrogen synthesis and metabolism,SRD5A2
88,Androgen and estrogen synthesis and metabolism,SRD5A3
89,Androgen and estrogen synthesis and metabolism,STS
90,Androgen and estrogen synthesis and metabolism,SULT2B1
91,Androgen and estrogen synthesis and metabolism,TPO
92,Arachidonic acid metabolism,ALOX12
93,Arachidonic acid metabolism,ALOX15
94,Arachidonic acid metabolism,ALOX15B
95,Arachidonic acid metabolism,ALOX5
96,Arachidonic acid metabolism,CBR1
97,Arachidonic acid metabolism,CBR3
98,Arachidonic acid metabolism,CYP19A1
99,Arachidonic acid metabolism,CYP1A1
100,Arachidonic acid metabolism,CYP1A2
101,Arachidonic acid metabolism,CYP1B1
102,Arachidonic acid metabolism,CYP2A13
103,Arachidonic acid metabolism,CYP2A6
104,Arachidonic acid metabolism,CYP2A7
105,Arachidonic acid metabolism,CYP2B6
106,Arachidonic acid metabolism,CYP2C18
107,Arachidonic acid metabolism,CYP2C19
108,Arachidonic acid metabolism,CYP2C8
109,Arachidonic acid metabolism,CYP2C9
110,Arachidonic acid metabolism,CYP2D6
111,Arachidonic acid metabolism,CYP2E1
112,Arachidonic acid metabolism,CYP2F1
113,Arachidonic acid metabolism,CYP2J2
114,Arachidonic acid metabolism,CYP2S1
115,Arachidonic acid metabolism,CYP2U1
116,Arachidonic acid metabolism,CYP3A4
117,Arachidonic acid metabolism,CYP3A43
118,Arachidonic acid metabolism,CYP3A5
119,Arachidonic acid metabolism,CYP3A7
120,Arachidonic acid metabolism,CYP4B1
121,Arachidonic acid metabolism,CYP4F11
122,Arachidonic acid metabolism,CYP4F12
123,Arachidonic acid metabolism,CYP4F2
124,Arachidonic acid metabolism,CYP4F22
125,Arachidonic acid metabolism,CYP4F3
126,Arachidonic acid metabolism,CYP4F8
127,Arachidonic acid metabolism,CYP4X1
128,Arachidonic acid metabolism,CYP4Z1
129,Arachidonic acid metabolism,DHRS4
130,Arachidonic acid metabolism,EPHX2
131,Arachidonic acid metabolism,GPX1
132,Arachidonic acid metabolism,GPX2
133,Arachidonic acid metabolism,GPX3
134,Arachidonic acid metabolism,GPX4
135,Arachidonic acid metabolism,GPX5
136,Arachidonic acid metabolism,GPX6
137,Arachidonic acid metabolism,GPX7
138,Arachidonic acid metabolism,GPX8
139,Arachidonic acid metabolism,PRDX6
140,Arginine and proline metabolism,201288_AT1
141,Arginine and proline metabolism,645740_AT1
142,Arginine and proline metabolism,AGMAT
143,Arginine and proline metabolism,ALDH1A1
144,Arginine and proline metabolism,ALDH1A2
145,Arginine and proline metabolism,ALDH3A2
146,Arginine and proline metabolism,ALDH4A1
147,Arginine and proline metabolism,ALDH7A1
148,Arginine and proline metabolism,ALDH9A1
149,Arginine and proline metabolism,AMD1
150,Arginine and proline metabolism,AOC1
151,Arginine and proline metabolism,AOC2
152,Arginine and proline metabolism,AOC3
153,Arginine and proline metabolism,AZIN2
154,Arginine and proline metabolism,DAO
155,Arginine and proline metabolism,GOT2
156,Arginine and proline metabolism,MAOA
157,Arginine and proline metabolism,MAOB
158,Arginine and proline metabolism,MTAP
159,Arginine and proline metabolism,NOS1
160,Arginine and proline metabolism,NOS2
161,Arginine and proline metabolism,NOS3
162,Arginine and proline metabolism,ODC1
163,Arginine and proline metabolism,P4HA1
164,Arginine and proline metabolism,P4HA2
165,Arginine and proline metabolism,P4HA3
166,Arginine and proline metabolism,PRODH
167,Arginine and proline metabolism,PRODH2
168,Arginine and proline metabolism,PYCR1
169,Arginine and proline metabolism,PYCR2
170,Arginine and proline metabolism,PYCRL
171,Arginine and proline metabolism,SAT1
172,Arginine and proline metabolism,SAT2
173,Beta-Alanine metabolism,ABAT
174,Beta-Alanine metabolism,ALDH1A1
175,Beta-Alanine metabolism,ALDH1A2
176,Beta-Alanine metabolism,ALDH1B1
177,Beta-Alanine metabolism,ALDH2
178,Beta-Alanine metabolism,ALDH3A2
179,Beta-Alanine metabolism,ALDH7A1
180,Beta-Alanine metabolism,ALDH9A1
181,Beta-Alanine metabolism,AOC1
182,Beta-Alanine metabolism,AOC2
183,Beta-Alanine metabolism,AOC3
184,Beta-Alanine metabolism,CARNS1
185,Beta-Alanine metabolism,CNDP1
186,Beta-Alanine metabolism,CNDP2
187,Beta-Alanine metabolism,GAD1
188,Bile acid synthesis,ABCB11
189,Bile acid synthesis,ABCC11
190,Bile acid synthesis,ABCC3
191,Bile acid synthesis,ACAA1
192,Bile acid synthesis,ACAA2
193,Bile acid synthesis,ACAD9
194,Bile acid synthesis,ACOT1
195,Bile acid synthesis,ACOT2
196,Bile acid synthesis,ACOT4
197,Bile acid synthesis,ACOT6
198,Bile acid synthesis,ACOT7
199,Bile acid synthesis,ACOT8
200,Bile acid synthesis,ACOX1
201,Bile acid synthesis,ACOX2
202,Bile acid synthesis,ACOX3
203,Bile acid synthesis,ADH1A
204,Bile acid synthesis,ADH1B
205,Bile acid synthesis,ADH1C
206,Bile acid synthesis,ADH4
207,Bile acid synthesis,ADH5
208,Bile acid synthesis,ADH6
209,Bile acid synthesis,ADH7
210,Bile acid synthesis,AKR1C4
211,Bile acid synthesis,AKR1D1
212,Bile acid synthesis,ALDH1B1
213,Bile acid synthesis,ALDH2
214,Bile acid synthesis,ALDH3A1
215,Bile acid synthesis,ALDH3A2
216,Bile acid synthesis,ALDH7A1
217,Bile acid synthesis,ALDH9A1
218,Bile acid synthesis,AMACR
219,Bile acid synthesis,BAAT
220,Bile acid synthesis,CH25H
221,Bile acid synthesis,CYP27A1
222,Bile acid synthesis,CYP39A1
223,Bile acid synthesis,CYP3A4
224,Bile acid synthesis,CYP46A1
225,Bile acid synthesis,CYP7A1
226,Bile acid synthesis,CYP7B1
227,Bile acid synthesis,CYP8B1
228,Bile acid synthesis,GMPS
229,Bile acid synthesis,HADHB
230,Bile acid synthesis,HSD17B4
231,Bile acid synthesis,HSD3B1
232,Bile acid synthesis,HSD3B2
233,Bile acid synthesis,HSD3B7
234,Bile acid synthesis,MYO5B
235,Bile acid synthesis,SCP2
236,Bile acid synthesis,SLC27A2
237,Bile acid synthesis,SLC27A5
238,Bile acid synthesis,STS
239,Bile acid synthesis,SULT2A1
240,Bile acid synthesis,UGT1A3
241,Bile acid synthesis,UGT2A1
242,Bile acid synthesis,UGT2A3
243,Bile acid synthesis,UGT2B4
244,Bile acid synthesis,UGT2B7
245,Biotin metabolism,BTD
246,Biotin metabolism,HLCS
247,Blood group synthesis,ABO
248,Blood group synthesis,B3GNT2
249,Blood group synthesis,B3GNT3
250,Blood group synthesis,B3GNT5
251,Blood group synthesis,FUT1
252,Blood group synthesis,FUT3
253,Blood group synthesis,FUT5
254,Blood group synthesis,FUT6
255,Blood group synthesis,FUT9
256,Blood group synthesis,GCNT2
257,Blood group synthesis,ST3GAL3
258,Blood group synthesis,ST3GAL6
259,Blood group synthesis,ST8SIA5
260,Butanoate metabolism,ACAD10
261,Butanoate metabolism,ACAD11
262,Butanoate metabolism,ACAD8
263,Butanoate metabolism,ACAD9
264,Butanoate metabolism,ACADM
265,Butanoate metabolism,ACADS
266,Butanoate metabolism,ACADSB
267,Butanoate metabolism,BDH1
268,Butanoate metabolism,ECHDC2
269,C5-branched dibasic acid metabolism,SUCLA2
270,C5-branched dibasic acid metabolism,SUCLG1
271,C5-branched dibasic acid metabolism,SUCLG2
272,Cholesterol metabolism,AACS
273,Cholesterol metabolism,ACAT2
274,Cholesterol metabolism,CEL
275,Cholesterol metabolism,CYP4F8
276,Cholesterol metabolism,CYP51A1
277,Cholesterol metabolism,CYP7A1
278,Cholesterol metabolism,DHCR24
279,Cholesterol metabolism,DHCR7
280,Cholesterol metabolism,EBP
281,Cholesterol metabolism,FAXDC2
282,Cholesterol metabolism,FDFT1
283,Cholesterol metabolism,FDPS
284,Cholesterol metabolism,GGPS1
285,Cholesterol metabolism,HMGCL
286,Cholesterol metabolism,HMGCLL1
287,Cholesterol metabolism,HMGCR
288,Cholesterol metabolism,HMGCS1
289,Cholesterol metabolism,HMGCS2
290,Cholesterol metabolism,HSD17B4
291,Cholesterol metabolism,HSD17B7
292,Cholesterol metabolism,IDI1
293,Cholesterol metabolism,IDI2
294,Cholesterol metabolism,LBR
295,Cholesterol metabolism,LCAT
296,Cholesterol metabolism,LIPA
297,Cholesterol metabolism,LSS
298,Cholesterol metabolism,MAGEA2B
299,Cholesterol metabolism,MSMO1
300,Cholesterol metabolism,MVD
301,Cholesterol metabolism,MVK
302,Cholesterol metabolism,NSDHL
303,Cholesterol metabolism,PMVK
304,Cholesterol metabolism,SC5D
305,Cholesterol metabolism,SOAT1
306,Cholesterol metabolism,SOAT2
307,Cholesterol metabolism,SQLE
308,Cholesterol metabolism,TM7SF2
309,Chondroitin sulfate degradation,ARSB
310,Chondroitin sulfate degradation,CTSA
311,Chondroitin sulfate degradation,GALNS
312,Chondroitin sulfate degradation,GLB1
313,Chondroitin sulfate degradation,GUSB
314,Chondroitin sulfate degradation,HEXA
315,Chondroitin sulfate degradation,HEXB
316,Chondroitin sulfate degradation,IDS
317,Chondroitin sulfate degradation,IDUA
318,Chondroitin sulfate degradation,NEU1
319,Chondroitin synthesis,B3GALT6
320,Chondroitin synthesis,B3GAT1
321,Chondroitin synthesis,B3GAT2
322,Chondroitin synthesis,B3GAT3
323,Chondroitin synthesis,B4GALT7
324,Chondroitin synthesis,CHPF
325,Chondroitin synthesis,CHPF2
326,Chondroitin synthesis,CHST11
327,Chondroitin synthesis,CHST12
328,Chondroitin synthesis,CHST13
329,Chondroitin synthesis,CHST14
330,Chondroitin synthesis,CHST3
331,Chondroitin synthesis,CHST7
332,Chondroitin synthesis,CHSY1
333,Chondroitin synthesis,CHSY3
334,Chondroitin synthesis,CSGALNACT1
335,Chondroitin synthesis,CSGALNACT2
336,Chondroitin synthesis,EXT1
337,Chondroitin synthesis,EXT2
338,Chondroitin synthesis,EXTL1
339,Chondroitin synthesis,EXTL2
340,Chondroitin synthesis,EXTL3
341,Chondroitin synthesis,GLCE
342,Chondroitin synthesis,HS2ST1
343,Chondroitin synthesis,HS3ST1
344,Chondroitin synthesis,HS3ST2
345,Chondroitin synthesis,HS3ST3A1
346,Chondroitin synthesis,HS3ST3B1
347,Chondroitin synthesis,HS3ST4
348,Chondroitin synthesis,HS3ST5
349,Chondroitin synthesis,HS3ST6
350,Chondroitin synthesis,HS6ST1
351,Chondroitin synthesis,HS6ST2
352,Chondroitin synthesis,HS6ST3
353,Chondroitin synthesis,NDST1
354,Chondroitin synthesis,NDST2
355,Chondroitin synthesis,NDST3
356,Chondroitin synthesis,NDST4
357,Chondroitin synthesis,UST
358,Chondroitin synthesis,XYLT1
359,Chondroitin synthesis,XYLT2
360,Citric acid cycle,ACLY
361,Citric acid cycle,ACO1
362,Citric acid cycle,ACO2
363,Citric acid cycle,CLYBL
364,Citric acid cycle,CS
365,Citric acid cycle,DLD
366,Citric acid cycle,DLST
367,Citric acid cycle,FH
368,Citric acid cycle,GPT
369,Citric acid cycle,GPT2
370,Citric acid cycle,IDH1
371,Citric acid cycle,IDH2
372,Citric acid cycle,IDH3A
373,Citric acid cycle,IDH3B
374,Citric acid cycle,IDH3G
375,Citric acid cycle,IREB2
376,Citric acid cycle,MDH1
377,Citric acid cycle,MDH1B
378,Citric acid cycle,MDH2
379,Citric acid cycle,OGDH
380,Citric acid cycle,PDHX
381,Citric acid cycle,SDHA
382,Citric acid cycle,SDHB
383,Citric acid cycle,SDHC
384,Citric acid cycle,SDHD
385,Citric acid cycle,SUCLA2
386,Citric acid cycle,SUCLG1
387,Citric acid cycle,SUCLG2
388,CoA catabolism,ACP2
389,CoA catabolism,ACP5
390,CoA catabolism,ACP6
391,CoA catabolism,ACPP
392,CoA catabolism,VNN1
393,CoA catabolism,VNN2
394,CoA catabolism,VNN3
395,CoA synthesis,COASY
396,CoA synthesis,ENPP1
397,CoA synthesis,ENPP3
398,CoA synthesis,HIBCH
399,CoA synthesis,PANK1
400,CoA synthesis,PANK2
401,CoA synthesis,PANK3
402,CoA synthesis,PANK4
403,CoA synthesis,PPCDC
404,CoA synthesis,PPCS
405,Cytochrome metabolism,CYP2A13
406,Cytochrome metabolism,CYP2A6
407,Cytochrome metabolism,CYP2C18
408,Cytochrome metabolism,CYP2C19
409,Cytochrome metabolism,CYP2C8
410,Cytochrome metabolism,CYP2C9
411,Cytochrome metabolism,CYP2D6
412,Cytochrome metabolism,CYP2E1
413,Cytochrome metabolism,CYP2F1
414,Cytochrome metabolism,CYP3A4
415,Cytochrome metabolism,CYP3A5
416,Cytochrome metabolism,CYP4A11
417,Cytochrome metabolism,CYP4F12
418,Cytochrome metabolism,SULT1A1
419,Cytochrome metabolism,SULT1A2
420,Cytochrome metabolism,SULT1A3
421,D-alanine metabolism,DAO
422,D-alanine metabolism,SLC16A1
423,D-alanine metabolism,SLC16A7
424,Drug metabolism,ABCB1
425,Drug metabolism,ABCB11
426,Drug metabolism,ABCC2
427,Drug metabolism,ABCC3
428,Drug metabolism,ABCC4
429,Drug metabolism,ABCG2
430,Drug metabolism,ACAA1
431,Drug metabolism,ACADVL
432,Drug metabolism,ACOT11
433,Drug metabolism,ACOT2
434,Drug metabolism,ACOT4
435,Drug metabolism,ACOT8
436,Drug metabolism,ACOX1
437,Drug metabolism,ACSL1
438,Drug metabolism,AMACR
439,Drug metabolism,AOX1
440,Drug metabolism,CYP2A6
441,Drug metabolism,CYP2C18
442,Drug metabolism,CYP2C19
443,Drug metabolism,CYP2C8
444,Drug metabolism,CYP2C9
445,Drug metabolism,CYP2D6
446,Drug metabolism,CYP2E1
447,Drug metabolism,CYP3A4
448,Drug metabolism,CYP3A5
449,Drug metabolism,CYP4F2
450,Drug metabolism,CYP4F3
451,Drug metabolism,EHHADH
452,Drug metabolism,GUSB
453,Drug metabolism,HADHA
454,Drug metabolism,HADHB
455,Drug metabolism,HSD17B4
456,Drug metabolism,PON3
457,Drug metabolism,SLC16A1
458,Drug metabolism,SLC22A6
459,Drug metabolism,SLC22A7
460,Drug metabolism,SLC28A1
461,Drug metabolism,SLC28A2
462,Drug metabolism,SLC28A3
463,Drug metabolism,SLCO1A2
464,Drug metabolism,SLCO1B1
465,Drug metabolism,SLCO2B1
466,Drug metabolism,SULT1A1
467,Drug metabolism,UGT1A1
468,Drug metabolism,UGT1A10
469,Drug metabolism,UGT1A3
470,Drug metabolism,UGT1A4
471,Drug metabolism,UGT1A6
472,Drug metabolism,UGT1A7
473,Drug metabolism,UGT1A8
474,Drug metabolism,UGT1A9
475,Drug metabolism,UGT2B17
476,Drug metabolism,UGT2B4
477,Drug metabolism,UGT2B7
478,Drug metabolism,XDH
479,Eicosanoid metabolism,ADHFE1
480,Eicosanoid metabolism,AKR1C3
481,Eicosanoid metabolism,ALDH1B1
482,Eicosanoid metabolism,ALDH2
483,Eicosanoid metabolism,ALDH3A1
484,Eicosanoid metabolism,ALDH3A2
485,Eicosanoid metabolism,ALDH7A1
486,Eicosanoid metabolism,ALDH9A1
487,Eicosanoid metabolism,ALOX12
488,Eicosanoid metabolism,ALOX15
489,Eicosanoid metabolism,ALOX15B
490,Eicosanoid metabolism,ALOX5
491,Eicosanoid metabolism,CBR1
492,Eicosanoid metabolism,CBR3
493,Eicosanoid metabolism,CYP2F1
494,Eicosanoid metabolism,CYP4F12
495,Eicosanoid metabolism,CYP4F2
496,Eicosanoid metabolism,CYP4F22
497,Eicosanoid metabolism,CYP4F3
498,Eicosanoid metabolism,CYP4F8
499,Eicosanoid metabolism,DHRS4
500,Eicosanoid metabolism,GGT5
501,Eicosanoid metabolism,HPGD
502,Eicosanoid metabolism,HPGDS
503,Eicosanoid metabolism,LTA4H
504,Eicosanoid metabolism,LTC4S
505,Eicosanoid metabolism,MGST2
506,Eicosanoid metabolism,MGST3
507,Eicosanoid metabolism,PTGDS
508,Eicosanoid metabolism,PTGES
509,Eicosanoid metabolism,PTGES2
510,Eicosanoid metabolism,PTGES3
511,Eicosanoid metabolism,PTGIS
512,Eicosanoid metabolism,PTGS1
513,Eicosanoid metabolism,PTGS2
514,Eicosanoid metabolism,RPP14
515,Eicosanoid metabolism,SCARF2
516,Eicosanoid metabolism,TBXAS1
517,Exchange/demand reaction,ACER1
518,Exchange/demand reaction,ACER2
519,Exchange/demand reaction,ACER3
520,Fatty acid oxidation,102724197_AT1
521,Fatty acid oxidation,26062_AT1
522,Fatty acid oxidation,344967_AT1
523,Fatty acid oxidation,ACAA1
524,Fatty acid oxidation,ACAA2
525,Fatty acid oxidation,ACACA
526,Fatty acid oxidation,ACACB
527,Fatty acid oxidation,ACAD9
528,Fatty acid oxidation,ACADL
529,Fatty acid oxidation,ACADM
530,Fatty acid oxidation,ACADS
531,Fatty acid oxidation,ACADSB
532,Fatty acid oxidation,ACADVL
533,Fatty acid oxidation,ACOT1
534,Fatty acid oxidation,ACOT11
535,Fatty acid oxidation,ACOT13
536,Fatty acid oxidation,ACOT2
537,Fatty acid oxidation,ACOT4
538,Fatty acid oxidation,ACOT6
539,Fatty acid oxidation,ACOT7
540,Fatty acid oxidation,ACOT8
541,Fatty acid oxidation,ACOX1
542,Fatty acid oxidation,ACOX2
543,Fatty acid oxidation,ACOX3
544,Fatty acid oxidation,ACSBG1
545,Fatty acid oxidation,ACSBG2
546,Fatty acid oxidation,ACSL1
547,Fatty acid oxidation,ACSL3
548,Fatty acid oxidation,ACSL4
549,Fatty acid oxidation,ACSL5
550,Fatty acid oxidation,ACSL6
551,Fatty acid oxidation,ACSM1
552,Fatty acid oxidation,ADH5
553,Fatty acid oxidation,ALDH1L1
554,Fatty acid oxidation,ALDH3A2
555,Fatty acid oxidation,AMACR
556,Fatty acid oxidation,BAAT
557,Fatty acid oxidation,CPT1A
558,Fatty acid oxidation,CPT1B
559,Fatty acid oxidation,CPT1C
560,Fatty acid oxidation,CPT2
561,Fatty acid oxidation,CRAT
562,Fatty acid oxidation,CROT
563,Fatty acid oxidation,CYP2D6
564,Fatty acid oxidation,CYP4F2
565,Fatty acid oxidation,CYP4F3
566,Fatty acid oxidation,DBI
567,Fatty acid oxidation,DECR1
568,Fatty acid oxidation,DECR2
569,Fatty acid oxidation,ECH1
570,Fatty acid oxidation,ECHS1
571,Fatty acid oxidation,ECI1
572,Fatty acid oxidation,ECI2
573,Fatty acid oxidation,EHHADH
574,Fatty acid oxidation,ELOVL2
575,Fatty acid oxidation,ELOVL4
576,Fatty acid oxidation,ELOVL5
577,Fatty acid oxidation,ELOVL6
578,Fatty acid oxidation,ETFA
579,Fatty acid oxidation,ETFB
580,Fatty acid oxidation,ETFDH
581,Fatty acid oxidation,GGT1
582,Fatty acid oxidation,GGT2
583,Fatty acid oxidation,GGT5
584,Fatty acid oxidation,GGT6
585,Fatty acid oxidation,GGT7
586,Fatty acid oxidation,GGTLC1
587,Fatty acid oxidation,GGTLC2
588,Fatty acid oxidation,HACL1
589,Fatty acid oxidation,HADH
590,Fatty acid oxidation,HADHA
591,Fatty acid oxidation,HADHB
592,Fatty acid oxidation,HSD17B10
593,Fatty acid oxidation,HSD17B4
594,Fatty acid oxidation,LCAT
595,Fatty acid oxidation,LIPC
596,Fatty acid oxidation,MECR
597,Fatty acid oxidation,MLYCD
598,Fatty acid oxidation,MYO5B
599,Fatty acid oxidation,PECR
600,Fatty acid oxidation,PHYH
601,Fatty acid oxidation,PPT1
602,Fatty acid oxidation,PPT2
603,Fatty acid oxidation,SLC25A20
604,Fatty acid oxidation,SLC27A1
605,Fatty acid oxidation,SLC27A2
606,Fatty acid oxidation,SLC27A3
607,Fatty acid oxidation,SLC27A4
608,Fatty acid oxidation,SLC27A5
609,Fatty acid oxidation,SLC27A6
610,Fatty acid synthesis,ACAA2
611,Fatty acid synthesis,ACAD9
612,Fatty acid synthesis,ACADL
613,Fatty acid synthesis,ACADM
614,Fatty acid synthesis,ACADVL
615,Fatty acid synthesis,ACOT1
616,Fatty acid synthesis,ACOT2
617,Fatty acid synthesis,ACOT4
618,Fatty acid synthesis,ACOT6
619,Fatty acid synthesis,ACSBG1
620,Fatty acid synthesis,ACSBG2
621,Fatty acid synthesis,ACSL1
622,Fatty acid synthesis,ACSL3
623,Fatty acid synthesis,ACSL4
624,Fatty acid synthesis,ACSL5
625,Fatty acid synthesis,ACSL6
626,Fatty acid synthesis,ACSM1
627,Fatty acid synthesis,ACSM2A
628,Fatty acid synthesis,ACSM2B
629,Fatty acid synthesis,ACSM3
630,Fatty acid synthesis,ACSM4
631,Fatty acid synthesis,ACSM5
632,Fatty acid synthesis,BAAT
633,Fatty acid synthesis,DECR1
634,Fatty acid synthesis,DECR2
635,Fatty acid synthesis,ECH1
636,Fatty acid synthesis,ECHS1
637,Fatty acid synthesis,ECI1
638,Fatty acid synthesis,ECI2
639,Fatty acid synthesis,ELOVL1
640,Fatty acid synthesis,ELOVL2
641,Fatty acid synthesis,ELOVL3
642,Fatty acid synthesis,ELOVL4
643,Fatty acid synthesis,ELOVL5
644,Fatty acid synthesis,ELOVL6
645,Fatty acid synthesis,ELOVL7
646,Fatty acid synthesis,FADS1
647,Fatty acid synthesis,FADS2
648,Fatty acid synthesis,FADS3
649,Fatty acid synthesis,FADS6
650,Fatty acid synthesis,FASN
651,Fatty acid synthesis,HACD1
652,Fatty acid synthesis,HACD2
653,Fatty acid synthesis,HACD3
654,Fatty acid synthesis,HACD4
655,Fatty acid synthesis,HADH
656,Fatty acid synthesis,HADHA
657,Fatty acid synthesis,HADHB
658,Fatty acid synthesis,HIGD2A
659,Fatty acid synthesis,HSD17B10
660,Fatty acid synthesis,HSD17B12
661,Fatty acid synthesis,LOXL2
662,Fatty acid synthesis,PTGS1
663,Fatty acid synthesis,PTGS2
664,Fatty acid synthesis,RPL14
665,Fatty acid synthesis,SCD
666,Fatty acid synthesis,SCD5
667,Fatty acid synthesis,SLC27A2
668,Fatty acid synthesis,TBCB
669,Fatty acid synthesis,TECR
670,Fatty acid synthesis,TECRL
671,Folate metabolism,100287639_AT1
672,Folate metabolism,286297_AT1
673,Folate metabolism,ALDH1L1
674,Folate metabolism,ALDH1L2
675,Folate metabolism,AMT
676,Folate metabolism,DHFR
677,Folate metabolism,FPGS
678,Folate metabolism,FTCD
679,Folate metabolism,GGH
680,Folate metabolism,MTHFD1
681,Folate metabolism,MTHFD1L
682,Folate metabolism,MTHFD2
683,Folate metabolism,MTHFD2L
684,Folate metabolism,MTHFR
685,Folate metabolism,MTHFS
686,Fructose and mannose metabolism,AKR1A1
687,Fructose and mannose metabolism,AKR1B1
688,Fructose and mannose metabolism,AKR7A2
689,Fructose and mannose metabolism,ALDOA
690,Fructose and mannose metabolism,ALDOB
691,Fructose and mannose metabolism,ALDOC
692,Fructose and mannose metabolism,FBP1
693,Fructose and mannose metabolism,FBP2
694,Fructose and mannose metabolism,FPGT
695,Fructose and mannose metabolism,FUK
696,Fructose and mannose metabolism,GCK
697,Fructose and mannose metabolism,GMDS
698,Fructose and mannose metabolism,GMPPA
699,Fructose and mannose metabolism,GMPPB
700,Fructose and mannose metabolism,HK1
701,Fructose and mannose metabolism,HK2
702,Fructose and mannose metabolism,HK3
703,Fructose and mannose metabolism,HKDC1
704,Fructose and mannose metabolism,KHK
705,Fructose and mannose metabolism,MPI
706,Fructose and mannose metabolism,PFKFB1
707,Fructose and mannose metabolism,PFKFB2
708,Fructose and mannose metabolism,PFKFB3
709,Fructose and mannose metabolism,PFKFB4
710,Fructose and mannose metabolism,PFKL
711,Fructose and mannose metabolism,PGM2
712,Fructose and mannose metabolism,PMM1
713,Fructose and mannose metabolism,PMM2
714,Fructose and mannose metabolism,SORD
715,Fructose and mannose metabolism,TNNI3K
716,Fructose and mannose metabolism,TSTA3
717,Galactose metabolism,AKR1A1
718,Galactose metabolism,AKR1B1
