metabolic_pathway	gene_symbol
Alanine and Aspartate Metabolism	Acy3
Alanine and Aspartate Metabolism	Agxt
Alanine and Aspartate Metabolism	Agxt2
Alanine and Aspartate Metabolism	Asl
Alanine and Aspartate Metabolism	Asns
Alanine and Aspartate Metabolism	Aspa
Alanine and Aspartate Metabolism	Asrgl1
Alanine and Aspartate Metabolism	Ass1
Alanine and Aspartate Metabolism	Ddo
Alanine and Aspartate Metabolism	Etnppl
Alanine and Aspartate Metabolism	Got1
Alanine and Aspartate Metabolism	Got2
Alanine and Aspartate Metabolism	Plpbp
Alkaloid biosynthesis II	Aadac
Alkaloid biosynthesis II	Aoc1
Alkaloid biosynthesis II	Aoc2
Alkaloid biosynthesis II	Aoc3
Alkaloid biosynthesis II	Ces2h
Aminosugar Metabolism	Amdhd2
Aminosugar Metabolism	Chia1
Aminosugar Metabolism	Chit1
Aminosugar Metabolism	Cmas
Aminosugar Metabolism	Gale
Aminosugar Metabolism	Gck
Aminosugar Metabolism	Gfpt1
Aminosugar Metabolism	Gfpt2
Aminosugar Metabolism	Gne
Aminosugar Metabolism	Gnpda1
Aminosugar Metabolism	Gnpda2
Aminosugar Metabolism	Gnpnat1
Aminosugar Metabolism	Hk1
Aminosugar Metabolism	Hk2
Aminosugar Metabolism	Hk3
Aminosugar Metabolism	Hkdc1
Aminosugar Metabolism	Mansc1
Aminosugar Metabolism	Nagk
Aminosugar Metabolism	Nans
Aminosugar Metabolism	Pgm3
Aminosugar Metabolism	Renbp
Aminosugar Metabolism	Uap1
Arginine and Proline Metabolism	4844
Arginine and Proline Metabolism	4845
Arginine and Proline Metabolism	Agmat
Arginine and Proline Metabolism	Aldh1a1
Arginine and Proline Metabolism	Aldh1a2
Arginine and Proline Metabolism	Aldh1b1
Arginine and Proline Metabolism	Aldh2
Arginine and Proline Metabolism	Aldh3a2
Arginine and Proline Metabolism	Aldh4a1
Arginine and Proline Metabolism	Aldh7a1
Arginine and Proline Metabolism	Aldh9a1
Arginine and Proline Metabolism	Amd1
Arginine and Proline Metabolism	Aoc1
Arginine and Proline Metabolism	Aoc2
Arginine and Proline Metabolism	Aoc3
Arginine and Proline Metabolism	Azin2
Arginine and Proline Metabolism	Dao
Arginine and Proline Metabolism	Got1
Arginine and Proline Metabolism	Got2
Arginine and Proline Metabolism	Maoa
Arginine and Proline Metabolism	Maob
Arginine and Proline Metabolism	Mtap
Arginine and Proline Metabolism	Nos1
Arginine and Proline Metabolism	Nos2
Arginine and Proline Metabolism	Nos3
Arginine and Proline Metabolism	P4ha1
Arginine and Proline Metabolism	P4ha2
Arginine and Proline Metabolism	P4hb
Arginine and Proline Metabolism	Prodh
Arginine and Proline Metabolism	Prodh2
Arginine and Proline Metabolism	Pycr1
Arginine and Proline Metabolism	Sat1
Arginine and Proline Metabolism	Sat2
Ascorbate and Aldarate Metabolism	Aldh3b2
Ascorbate and Aldarate Metabolism	Aldh1a1
Ascorbate and Aldarate Metabolism	Aldh1a2
Ascorbate and Aldarate Metabolism	Aldh1a3
Ascorbate and Aldarate Metabolism	Aldh1b1
Ascorbate and Aldarate Metabolism	Aldh2
Ascorbate and Aldarate Metabolism	Aldh3a1
Ascorbate and Aldarate Metabolism	Aldh3a2
Ascorbate and Aldarate Metabolism	Aldh3b1
Ascorbate and Aldarate Metabolism	Aldh4a1
Ascorbate and Aldarate Metabolism	Aldh9a1
Ascorbate and Aldarate Metabolism	Glrx
Ascorbate and Aldarate Metabolism	Glrx2
Bile Acid Biosynthesis	Acox2
Bile Acid Biosynthesis	Akr1c6
Bile Acid Biosynthesis	Akr1d1
Bile Acid Biosynthesis	Amacr
Bile Acid Biosynthesis	Baat
Bile Acid Biosynthesis	Ch25h
Bile Acid Biosynthesis	Cyp27a1
Bile Acid Biosynthesis	Cyp39a1
Bile Acid Biosynthesis	Cyp46a1
Bile Acid Biosynthesis	Cyp7a1
Bile Acid Biosynthesis	Cyp7b1
Bile Acid Biosynthesis	Cyp8b1
Bile Acid Biosynthesis	Hsd17b4
Bile Acid Biosynthesis	Hsd3b7
Bile Acid Biosynthesis	Scp2
Bile Acid Biosynthesis	Slc27a2
Biotin Metabolism	Btd
Biotin Metabolism	Hlcs
Blood Group Biosynthesis	B3gnt2
Blood Group Biosynthesis	B3gnt3
Blood Group Biosynthesis	B3gnt5
Blood Group Biosynthesis	Fut1
Blood Group Biosynthesis	Fut9
Blood Group Biosynthesis	Gcnt2
Blood Group Biosynthesis	St3gal6
Blood Group Biosynthesis	St8sia5
Butanoate Metabolism	Acad10
Butanoate Metabolism	Acad11
Butanoate Metabolism	Acad8
Butanoate Metabolism	Acad9
Butanoate Metabolism	Acadm
Butanoate Metabolism	Acads
Butanoate Metabolism	Acadsb
Butanoate Metabolism	Bdh1
Butanoate Metabolism	Echdc2
C5-Branched dibasic acid metabolism	Sucla2
C5-Branched dibasic acid metabolism	Suclg1
C5-Branched dibasic acid metabolism	Suclg2
CYP Metabolism	Cyp2c54
CYP Metabolism	Cyp2c55
CYP Metabolism	Cyp2c66
CYP Metabolism	Cyp2d22
CYP Metabolism	Cyp2e1
CYP Metabolism	Cyp2f2
CYP Metabolism	Cyp3a13
CYP Metabolism	Cyp3a41b
CYP Metabolism	Cyp4a10
CYP Metabolism	Cyp4f14
Carnitine shuttle	Cpt1a
Carnitine shuttle	Cpt1b
Carnitine shuttle	Cpt1c
Carnitine shuttle	Cpt2
Carnitine shuttle	Crat
Carnitine shuttle	Slc25a20
Cholesterol Metabolism	Idi2
Cholesterol Metabolism	Acat3
Cholesterol Metabolism	Cyp4f17
Cholesterol Metabolism	Cyp51
Cholesterol Metabolism	Dhcr24
Cholesterol Metabolism	Dhcr7
Cholesterol Metabolism	Ebp
Cholesterol Metabolism	Fdft1
Cholesterol Metabolism	Fdps
Cholesterol Metabolism	Ggps1
Cholesterol Metabolism	Hmgcl
Cholesterol Metabolism	Hmgcll1
Cholesterol Metabolism	Hmgcr
Cholesterol Metabolism	Hmgcs1
Cholesterol Metabolism	Hmgcs2
Cholesterol Metabolism	Hsd17b4
Cholesterol Metabolism	Idi1
Cholesterol Metabolism	Lss
Cholesterol Metabolism	Msmo1
Cholesterol Metabolism	Mvd
Cholesterol Metabolism	Mvk
Cholesterol Metabolism	Nsdhl
Cholesterol Metabolism	Pmvk
Cholesterol Metabolism	Sc5d
Cholesterol Metabolism	Soat1
Cholesterol Metabolism	Sqle
Cholesterol Metabolism	Tm7sf2
Chondroitin / heparan sulfate biosynthesis	Chpf2
Chondroitin / heparan sulfate biosynthesis	9952
Chondroitin / heparan sulfate biosynthesis	9954
Chondroitin / heparan sulfate biosynthesis	B3galt6
Chondroitin / heparan sulfate biosynthesis	B3gat1
Chondroitin / heparan sulfate biosynthesis	B3gat2
Chondroitin / heparan sulfate biosynthesis	B3gat3
Chondroitin / heparan sulfate biosynthesis	B4galt7
Chondroitin / heparan sulfate biosynthesis	Chpf
Chondroitin / heparan sulfate biosynthesis	Chst11
Chondroitin / heparan sulfate biosynthesis	Chst12
Chondroitin / heparan sulfate biosynthesis	Chst13
Chondroitin / heparan sulfate biosynthesis	Chst14
Chondroitin / heparan sulfate biosynthesis	Chst3
Chondroitin / heparan sulfate biosynthesis	Chst7
Chondroitin / heparan sulfate biosynthesis	Chsy1
Chondroitin / heparan sulfate biosynthesis	Chsy3
Chondroitin / heparan sulfate biosynthesis	Csgalnact1
Chondroitin / heparan sulfate biosynthesis	Csgalnact2
Chondroitin / heparan sulfate biosynthesis	Ext1
Chondroitin / heparan sulfate biosynthesis	Ext2
Chondroitin / heparan sulfate biosynthesis	Extl1
Chondroitin / heparan sulfate biosynthesis	Extl2
Chondroitin / heparan sulfate biosynthesis	Extl3
Chondroitin / heparan sulfate biosynthesis	Glce
Chondroitin / heparan sulfate biosynthesis	Hs2st1
Chondroitin / heparan sulfate biosynthesis	Hs3st1
Chondroitin / heparan sulfate biosynthesis	Hs3st2
Chondroitin / heparan sulfate biosynthesis	Hs3st3a1
Chondroitin / heparan sulfate biosynthesis	Hs3st3b1
Chondroitin / heparan sulfate biosynthesis	Hs3st4
Chondroitin / heparan sulfate biosynthesis	Hs3st5
Chondroitin / heparan sulfate biosynthesis	Hs3st6
Chondroitin / heparan sulfate biosynthesis	Hs6st1
Chondroitin / heparan sulfate biosynthesis	Hs6st2
Chondroitin / heparan sulfate biosynthesis	Hs6st3
Chondroitin / heparan sulfate biosynthesis	Ndst1
Chondroitin / heparan sulfate biosynthesis	Ndst2
Chondroitin / heparan sulfate biosynthesis	Ndst3
Chondroitin / heparan sulfate biosynthesis	Ndst4
Chondroitin / heparan sulfate biosynthesis	Ust
Chondroitin / heparan sulfate biosynthesis	Xylt1
Chondroitin / heparan sulfate biosynthesis	Xylt2
Chondroitin sulfate degradation	Arsb
Chondroitin sulfate degradation	Ctsa
Chondroitin sulfate degradation	Galns
Chondroitin sulfate degradation	Glb1
Chondroitin sulfate degradation	Gusb
Chondroitin sulfate degradation	Hexa
Chondroitin sulfate degradation	Hexb
Chondroitin sulfate degradation	Ids
Chondroitin sulfate degradation	Idua
Chondroitin sulfate degradation	Neu1
Citric Acid Cycle	Acly
Citric Acid Cycle	Aco1
Citric Acid Cycle	Aco2
Citric Acid Cycle	Clybl
Citric Acid Cycle	Cs
Citric Acid Cycle	Dld
Citric Acid Cycle	Dlst
Citric Acid Cycle	Fh1
Citric Acid Cycle	Idh1
Citric Acid Cycle	Idh2
Citric Acid Cycle	Idh3a
Citric Acid Cycle	Idh3b
Citric Acid Cycle	Idh3g
Citric Acid Cycle	Ireb2
Citric Acid Cycle	Mdh1
Citric Acid Cycle	Mdh1b
Citric Acid Cycle	Mdh2
Citric Acid Cycle	Ogdh
Citric Acid Cycle	Pdhx
Citric Acid Cycle	Sdha
Citric Acid Cycle	Sdhb
Citric Acid Cycle	Sdhc
Citric Acid Cycle	Sdhd
Citric Acid Cycle	Sucla2
Citric Acid Cycle	Suclg1
Citric Acid Cycle	Suclg2
CoA Biosynthesis	Coasy
CoA Biosynthesis	Pank1
CoA Biosynthesis	Pank2
CoA Biosynthesis	Pank3
CoA Biosynthesis	Pank4
CoA Biosynthesis	Ppcdc
CoA Biosynthesis	Ppcs
CoA Catabolism	55350
CoA Catabolism	Acp2
CoA Catabolism	Vnn1
CoA Catabolism	Vnn3
Cysteine Metabolism	Cth
Cysteine Metabolism	Got1
Cysteine Metabolism	Got2
Cysteine Metabolism	Mdh1
Cysteine Metabolism	Mdh1b
Cysteine Metabolism	Mdh2
Cysteine Metabolism	Mpst
Cysteine Metabolism	Suox
Cysteine Metabolism	Tst
D-alanine metabolism	Dao
D-alanine metabolism	Slc16a1
D-alanine metabolism	Slc16a7
D-arg and D-orn metabolism	Dao
Eicosanoid Metabolism	Alox12
Eicosanoid Metabolism	Alox12b
Eicosanoid Metabolism	Alox15
Eicosanoid Metabolism	Alox5
Eicosanoid Metabolism	Alox8
Eicosanoid Metabolism	Cbr1
Eicosanoid Metabolism	Cyp2f2
Eicosanoid Metabolism	Cyp4f14
Eicosanoid Metabolism	Cyp4f15
Eicosanoid Metabolism	Cyp4f17
Eicosanoid Metabolism	Cyp4f18
Eicosanoid Metabolism	Ggt5
Eicosanoid Metabolism	Hpgds
Eicosanoid Metabolism	Lta4h
Eicosanoid Metabolism	Ltc4s
Eicosanoid Metabolism	Mgst2
Eicosanoid Metabolism	Mgst3
Eicosanoid Metabolism	Ptgds
Eicosanoid Metabolism	Ptges
Eicosanoid Metabolism	Ptges2
Eicosanoid Metabolism	Ptgis
Eicosanoid Metabolism	Ptgs1
Eicosanoid Metabolism	Ptgs2
Eicosanoid Metabolism	Tbxas1
Fatty Acid Metabolism	26062
Fatty Acid Metabolism	Acaa1a
Fatty Acid Metabolism	Acaca
Fatty Acid Metabolism	Acacb
Fatty Acid Metabolism	Acot2
Fatty Acid Metabolism	Acot8
Fatty Acid Metabolism	Acox1
Fatty Acid Metabolism	Aldh1l1
Fatty Acid Metabolism	Aldh3a2
Fatty Acid Metabolism	Crat
Fatty Acid Metabolism	Crot
Fatty Acid Metabolism	Eci1
Fatty Acid Metabolism	Fasn
Fatty Acid Metabolism	Lcat
Fatty Acid Metabolism	Lipc
Fatty Acid Metabolism	Mcat
Fatty Acid Metabolism	Mlycd
Fatty Acid Metabolism	Olah
Fatty acid activation	Acadm
Fatty acid activation	Acads
Fatty acid activation	Acsl1
Fatty acid activation	Acsl3
Fatty acid activation	Acsl4
Fatty acid activation	Acsl5
Fatty acid activation	Acsm1
Fatty acid activation	Slc27a2
Fatty acid activation	Vmn2r37
Fatty acid elongation	Elovl4
Fatty acid elongation	Fads1
Fatty acid elongation	Fads2
Fatty acid elongation	Fasn
Fatty acid elongation	Scd1
Fatty acid oxidation	Acadm
Fatty acid oxidation	Acads
Fatty acid oxidation	Etfa
Fatty acid oxidation	Etfb
Fatty acid oxidation	Etfdh
Fatty acid oxidation, peroxisome	Acaa1a
